Ticket #,Symbol,Volume,Open,Close,B/S,Sold,Bought,Gross P/L,Rollover,Net P/L,Created By
17359665,EUR/JPY,2000,1/5/15 11:11 AM,1/5/15 11:35 AM,S,143.431,143.409,0.24,0.0,0.24,7510123597
17360113,EUR/JPY,5000,1/5/15 11:35 AM,1/6/15 10:02 AM,S,143.389,141.54,51.2,0.0,51.2,7510123597
17377272,EUR/JPY,5000,1/5/15 11:35 AM,1/7/15 12:08 AM,S,143.389,141.036,65.45,0.0,65.45,7510123597
17367846,CHF/JPY,5000,1/5/15 4:47 PM,1/6/15 10:03 AM,S,118.804,117.807,27.61,-0.08,27.53,7510123597
17377376,CHF/JPY,5000,1/5/15 4:47 PM,1/7/15 12:09 AM,S,118.804,117.437,38.02,-0.16,37.86,7510123597
17367898,GBP/AUD,5000,1/5/15 4:53 PM,1/6/15 10:03 AM,S,1.88181,1.86881,34.78,0.21,34.99,7510123597
17377379,GBP/AUD,5000,1/5/15 4:53 PM,1/7/15 12:10 AM,S,1.88181,1.87437,19.85,0.42,20.27,7510123597
17377417,GBP/AUD,10000,1/6/15 10:08 AM,1/8/15 10:23 AM,S,1.8684,1.85985,45.97,1.68,47.65,7510123597
17377442,EUR/JPY,10000,1/6/15 10:10 AM,1/7/15 10:45 AM,S,141.445,141.292,8.48,0.0,8.48,7510123597
17377452,CHF/JPY,10000,1/6/15 10:10 AM,1/8/15 10:24 AM,S,117.679,117.409,14.96,-0.24,14.72,7510123597
17377533,GBP/JPY,5000,1/6/15 10:15 AM,1/7/15 12:12 AM,S,180.455,179.883,15.9,-0.12,15.78,7510123597
17391004,GBP/JPY,5000,1/6/15 10:15 AM,1/7/15 11:36 AM,S,180.455,180.201,7.05,-0.12,6.93,7510123597
17388741,EUR/AUD,10000,1/6/15 7:42 PM,1/8/15 10:23 AM,S,1.4698,1.45253,92.86,1.69,94.55,7510123597
17397258,GBP/AUD,10000,1/7/15 10:43 AM,1/8/15 10:23 AM,S,1.876,1.85985,86.83,1.26,88.09,7510123597
17445958,EUR/JPY,10000,1/12/15 10:09 AM,1/13/15 10:02 AM,S,140.75,140.002,41.77,0.0,41.77,7510123597
17445964,GBP/JPY,10000,1/12/15 10:09 AM,1/13/15 10:01 AM,S,180.157,179.097,59.19,-0.24,58.95,7510123597
17445976,CHF/JPY,10000,1/12/15 10:10 AM,1/13/15 10:03 AM,S,117.193,116.547,36.08,-0.02,36.06,7510123597
17446075,EUR/AUD,10000,1/12/15 10:17 AM,1/14/15 10:10 AM,S,1.44693,1.44317,20.16,0.86,21.02,7510123597
17446093,GBP/AUD,10000,1/12/15 10:18 AM,1/15/15 12:41 PM,S,1.85413,1.84337,58.37,2.64,61.01,7510123597
17461232,GBP/JPY,20000,1/13/15 10:02 AM,1/14/15 10:08 AM,S,179.054,177.921,127.36,-0.48,126.88,7510123597
17461246,EUR/JPY,20000,1/13/15 10:02 AM,1/14/15 10:08 AM,S,139.978,137.654,261.27,0.0,261.27,7510123597
17461296,CHF/JPY,10000,1/13/15 10:04 AM,1/14/15 12:41 PM,B,114.443,116.506,-116.24,-0.01,-116.25,7510123597
17461529,EUR/CAD,20000,1/13/15 10:15 AM,1/14/15 10:09 AM,S,1.41284,1.40683,66.13,0.3,66.43,7510123597
17470645,CHF/JPY,10000,1/13/15 10:41 PM,1/13/15 10:41 PM,B,115.621,115.645,-1.34,0.0,-1.34,7510123597
17470647,CHF/JPY,10000,1/13/15 10:42 PM,1/14/15 12:41 PM,S,115.621,114.465,65.13,0.0,65.13,7510123597
17476883,EUR/JPY,20000,1/14/15 10:08 AM,1/15/15 12:41 PM,S,137.641,136.616,115.37,0.0,115.37,7510123597
17476892,GBP/JPY,20000,1/14/15 10:08 AM,1/15/15 12:41 PM,S,177.889,177.698,21.5,-1.92,19.58,7510123597
17476913,EUR/CAD,20000,1/14/15 10:09 AM,1/15/15 12:41 PM,S,1.40641,1.38799,204.08,1.36,205.44,7510123597
17476993,GBP/AUD,10000,1/14/15 10:13 AM,1/15/15 12:41 PM,B,1.8429,1.86513,-120.63,-3.76,-124.39,7510123597
17477111,CHF/JPY,10000,1/14/15 10:21 AM,1/15/15 10:26 AM,S,114.536,132.357,-1002.83,-0.08,-1002.91,7510123597
17494716,CHF/JPY,10000,1/14/15 10:21 AM,1/15/15 11:04 AM,S,114.536,132.19,-995.23,-0.08,-995.31,7510123597
17477436,AUD/JPY,20000,1/14/15 10:48 AM,1/15/15 12:41 PM,S,95.23,96.419,-133.83,-4.96,-138.79,7510123597
17477462,GBP/CAD,20000,1/14/15 10:51 AM,1/15/15 12:41 PM,B,1.80497,1.8181,-145.49,-1.84,-147.33,7510123597
17478608,EUR/AUD,20000,1/14/15 12:13 PM,1/15/15 12:41 PM,S,1.44596,1.41719,312.19,3.68,315.87,7510123597
17513130,EUR/JPY,5000,1/16/15 9:11 AM,1/16/15 3:21 PM,S,135.257,135.059,5.58,0.0,5.58,7510123597
17513152,EUR/USD,5000,1/16/15 9:12 AM,1/16/15 1:09 PM,S,1.16184,1.1591,9.03,0.0,9.03,7510123597
17513188,USD/JPY,5000,1/16/15 9:14 AM,1/16/15 3:21 PM,S,116.434,117.256,-23.17,0.0,-23.17,7510123597
17513220,AUD/USD,5000,1/16/15 9:16 AM,1/16/15 3:21 PM,B,0.81874,0.82316,-14.61,0.0,-14.61,7510123597
17513249,USD/CAD,5000,1/16/15 9:17 AM,1/16/15 2:04 PM,B,1.20039,1.19818,6.06,0.0,6.06,7510123597
17513264,GBP/JPY,5000,1/16/15 9:18 AM,1/16/15 3:21 PM,S,177.261,177.375,-3.21,0.0,-3.21,7510123597
17513342,EUR/CAD,5000,1/16/15 9:21 AM,1/16/15 3:21 PM,S,1.39298,1.38359,25.84,0.0,25.84,7510123597
17513354,GBP/CAD,5000,1/16/15 9:22 AM,1/16/15 3:21 PM,B,1.81676,1.82492,-22.46,0.0,-22.46,7510123597
17513382,EUR/AUD,5000,1/16/15 9:24 AM,1/16/15 1:10 PM,S,1.41458,1.41226,6.27,0.0,6.27,7510123597
17513430,GBP/AUD,5000,1/16/15 9:25 AM,1/16/15 3:21 PM,S,1.85289,1.84753,14.51,0.0,14.51,7510123597
